50.42,55.79,20.41
     26.60,     49.21,     16.51
     33.12,     51.79,     16.87
     33.12,     51.79,     16.87
     34.36,     52.69,     19.27
     50.15,     56.71,     35.66
     51.10,     56.96,     37.80
     28.00,     51.71,     17.04
     35.35,     52.97,     20.50
     34.51,     54.20,     21.34
     38.68,     57.68,     24.30
     52.89,     60.48,     39.87
     59.45,     62.69,     46.89
     28.43,     51.40,     24.27
     35.99,     54.81,     31.27
     36.62,     54.02,     33.43
     40.62,     56.08,     35.29
     56.22,     62.12,     53.12
     64.32,     71.98,     55.69
     30.50,     51.48,     34.99
     41.56,     60.59,     39.92
     42.03,     61.28,     39.08
     41.36,     61.82,     46.77
     60.19,     68.37,     60.89
     66.28,     77.14,     64.49
63.24,74.18,62.19
67.09,78.94,67.83
