81.26,82.59,79.1
     49.92,     51.65,     44.65
     51.17,     53.07,     46.42
     51.17,     53.07,     46.42
     50.51,     53.90,     48.28
     81.51,     80.58,     78.51
     82.43,     83.52,     82.19
     50.20,     55.30,     56.75
     54.50,     59.43,     61.49
     53.67,     59.78,     62.78
     56.86,     60.09,     61.60
     80.52,     82.28,     79.52
     85.22,     84.40,     81.13
     49.84,     57.93,     62.39
     54.56,     60.60,     61.70
     55.36,     61.53,     64.42
     55.87,     62.71,     61.98
     81.87,     81.21,     80.89
     84.26,     84.23,     82.42
     51.06,     60.73,     69.39
     56.61,     64.03,     66.06
     55.74,     64.58,     64.81
     57.63,     67.08,     66.56
     82.83,     82.89,     83.29
     84.62,     87.55,     82.82
70.1,93.67,85.78
86.19,95.55,87.44
