50.42,55.79,20.41
     25.38,     49.56,     16.04
     33.50,     50.49,     15.90
     33.50,     50.49,     15.90
     35.26,     53.62,     18.76
     50.42,     57.25,     36.04
     52.38,     56.71,     38.62
     27.71,     50.30,     16.77
     34.11,     53.30,     21.38
     34.48,     53.57,     20.19
     38.64,     57.74,     24.88
     53.78,     62.27,     39.91
     59.49,     61.17,     47.71
     27.50,     52.18,     24.39
     35.59,     55.32,     31.46
     35.15,     53.42,     33.77
     41.47,     57.03,     35.75
     55.99,     64.18,     51.92
     64.86,     71.24,     56.42
     31.01,     51.46,     35.11
     41.42,     60.77,     38.35
     39.74,     61.55,     40.36
     41.66,     61.10,     46.77
     61.63,     68.47,     61.47
     65.74,     76.67,     65.10
63.24,74.18,62.19
67.09,78.94,67.83
