50.42,55.79,20.41
     27.33,     51.59,     13.38
     31.33,     52.04,     14.83
     31.33,     52.04,     14.83
     35.35,     52.81,     19.67
     51.41,     55.27,     34.56
     52.73,     57.42,     39.62
     27.61,     49.58,     19.41
     33.74,     50.60,     20.43
     34.74,     52.13,     20.39
     35.81,     54.50,     24.11
     52.78,     60.78,     36.59
     57.73,     62.47,     48.71
     29.23,     49.54,     26.55
     33.99,     55.00,     33.18
     36.26,     54.92,     32.52
     39.23,     55.58,     35.67
     53.93,     63.30,     51.62
     62.86,     72.45,     58.05
     30.68,     50.72,     32.26
     42.36,     59.63,     38.67
     40.90,     59.91,     40.92
     44.30,     62.55,     43.77
     59.49,     71.61,     59.86
     66.40,     75.06,     64.71
63.24,74.18,62.19
67.09,78.94,67.83
